행정구역별(읍면동),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
행정구역별(읍면동),총인구 (명),남자 (명),여자 (명),내국인-계 (명),내국인-남자 (명),내국인-여자 (명),외국인-계 (명),외국인-남자 (명),외국인-여자 (명),가구-계 (가구),일반가구 (가구),집단가구 (가구),외국인가구 (가구),주택-계 (호),단독주택 (호),아파트 (호),연립주택 (호),다세대주택 (호),비거주용 건물내 주택 (호),주택이외의 거처 (호)
　　　구리시,"192,051","95,061","96,990","190,008","94,119","95,889","2,043",942,"1,101","73,909","73,253",26,630,"60,554","5,107","46,883","2,368","5,721",475,"2,486"
　　　남양주시,"696,033","346,351","349,682","685,586","340,312","345,274","10,447","6,039","4,408","255,575","252,977",173,"2,425","240,547","17,102","184,085","11,516","26,250","1,594","8,358"
　　　오산시,"240,645","124,161","116,484","224,597","115,891","108,706","16,048","8,270","7,778","98,336","91,909",66,"6,361","82,323","5,246","66,629","1,591","8,283",574,"3,115"
　　　시흥시,"535,147","281,928","253,219","482,850","251,587","231,263","52,297","30,341","21,956","213,850","192,833",142,"20,875","179,205","7,388","143,158","1,622","25,709","1,328","13,220"
　　　군포시,"275,571","136,710","138,861","265,119","131,464","133,655","10,452","5,246","5,206","107,215","103,186",60,"3,969","91,152","3,599","73,857","1,229","12,000",467,"4,522"
　　　의왕시,"160,230","79,633","80,597","158,592","78,847","79,745","1,638",786,852,"59,922","59,444",34,444,"57,799","2,710","45,347",710,"8,774",258,"1,616"
　　　하남시,"279,795","140,355","139,440","276,344","138,487","137,857","3,451","1,868","1,583","113,584","112,462",28,"1,094","84,875","6,036","75,066","1,203","1,934",636,"16,825"
　　　용인시,"1,066,975","530,711","536,264","1,040,934","516,055","524,879","26,041","14,656","11,385","394,636","386,929",318,"7,389","349,222","30,255","272,504","11,109","33,536","1,818","15,082"
　　　처인구,"268,242","139,004","129,238","254,241","130,102","124,139","14,001","8,902","5,099","104,370","100,342",194,"3,834","91,311","19,214","41,241","5,900","23,652","1,304","4,755"
　　　기흥구,"434,871","214,600","220,271","427,601","211,007","216,594","7,270","3,593","3,677","159,718","157,399",77,"2,242","139,863","7,349","121,499","3,354","7,325",336,"5,140"
